map_size,sigma,learning_rate,init_method,qe,n_cluster
4x4,0.1,0.3,random_init,0.391311741807905,16
4x4,0.1,0.4,random_init,0.3917236664940479,16
4x4,0.1,0.5,random_init,0.39921981157850067,16
4x4,0.1,0.6,random_init,0.4104531852606256,16
4x4,0.1,0.7,random_init,0.4132645593578014,16
4x4,0.1,0.8,random_init,0.41696303943236696,16
4x4,0.1,0.9,random_init,0.43768012585726196,16
4x4,0.2,0.1,random_init,0.387839489736944,16
4x4,0.2,0.2,random_init,0.3772095817999977,16
4x4,0.2,0.3,random_init,0.3913115450077275,16
4x4,0.2,0.4,random_init,0.3915251715941871,16
4x4,0.2,0.5,random_init,0.39922174612853506,16
4x4,0.2,0.6,random_init,0.40962206091418124,16
4x4,0.2,0.7,random_init,0.4160508567000843,16
4x4,0.2,0.8,random_init,0.4169631134906845,16
4x4,0.2,0.9,random_init,0.43768012585807436,16
4x4,0.3,0.1,random_init,0.3878224266648237,16
4x4,0.3,0.2,random_init,0.37720922699390247,16
4x4,0.3,0.3,random_init,0.3913120461057761,16
4x4,0.3,0.4,random_init,0.39151655205057073,16
4x4,0.3,0.5,random_init,0.3992158196290647,16
4x4,0.3,0.6,random_init,0.4096221681270126,16
4x4,0.3,0.7,random_init,0.4162145646135791,16
4x4,0.3,0.8,random_init,0.41696588842319765,16
4x4,0.3,0.9,random_init,0.4378141482642391,16
4x4,0.4,0.1,random_init,0.3939527383626219,16
4x4,0.4,0.2,random_init,0.36002909233470404,16
4x4,0.4,0.3,random_init,0.39529401973961226,16
4x4,0.4,0.4,random_init,0.38680264591420566,16
4x4,0.4,0.5,random_init,0.39593671685392917,16
4x4,0.4,0.6,random_init,0.41165503919119306,16
4x4,0.4,0.7,random_init,0.4232686631513392,16
4x4,0.4,0.8,random_init,0.4398376942659502,16
4x4,0.4,0.9,random_init,0.4341884056413084,16
4x4,0.5,0.1,random_init,0.395463424814103,16
4x4,0.5,0.2,random_init,0.36757992247922505,16
4x4,0.5,0.3,random_init,0.3796540590007054,16
4x4,0.5,0.4,random_init,0.4058480921732649,16
4x4,0.5,0.5,random_init,0.4056624102862327,16
4x4,0.5,0.6,random_init,0.4050673141241576,16
4x4,0.5,0.7,random_init,0.4255355150805699,16
4x4,0.5,0.8,random_init,0.42755886455190895,16
4x4,0.5,0.9,random_init,0.41810633450959184,16
4x4,0.6,0.1,random_init,0.3842275419441728,16
4x4,0.6,0.2,random_init,0.3770424876191839,16
4x4,0.6,0.3,random_init,0.37749868351109456,16
4x4,0.6,0.4,random_init,0.40395116834974354,16
4x4,0.6,0.5,random_init,0.40057293473610606,16
4x4,0.6,0.6,random_init,0.4160439940594687,16
4x4,0.6,0.7,random_init,0.40934420398507587,16
4x4,0.6,0.8,random_init,0.39945552824146185,16
4x4,0.6,0.9,random_init,0.4116778612149013,16
4x4,0.7,0.1,random_init,0.3970201233495711,16
4x4,0.7,0.2,random_init,0.38019359864796726,16
4x4,0.7,0.3,random_init,0.4058231468215673,16
4x4,0.7,0.4,random_init,0.3933579493445081,16
4x4,0.7,0.5,random_init,0.4132369631527448,16
4x4,0.7,0.6,random_init,0.4032515237648914,16
4x4,0.7,0.7,random_init,0.410868971450598,16
4x4,0.7,0.8,random_init,0.3942973815190568,16
4x4,0.7,0.9,random_init,0.4216565065110835,16
4x4,0.8,0.1,random_init,0.4481745663162158,16
4x4,0.8,0.2,random_init,0.4304787975545432,16
4x4,0.8,0.3,random_init,0.3860132887739083,16
4x4,0.8,0.4,random_init,0.4110995479536454,16
4x4,0.8,0.5,random_init,0.39080519684062265,16
4x4,0.8,0.6,random_init,0.44236906626959754,16
4x4,0.8,0.7,random_init,0.4136285631830191,16
4x4,0.8,0.8,random_init,0.39399772191004084,16
4x4,0.8,0.9,random_init,0.4146061577543163,16
4x4,0.9,0.1,random_init,0.44702515021380274,16
4x4,0.9,0.2,random_init,0.40208564547502046,16
4x4,0.9,0.3,random_init,0.395244848336597,16
4x4,0.9,0.4,random_init,0.3873174155137634,16
